Samplenumber,Donor,Transit,PD_Colon,Date,Extra code,Ninetransit,Extra nr,Day,Time,Total_cells
0,1,FS,FS,2/09/2019,(0)_,0,0,0,9:30:00,1.44396E+11
1,1,ST,P,3/09/2019,(1)_,1,1,1,9:30:00,3299180548
102,2,ST,P,6/09/2019,(30)_,4,30,4,9:30:00,966384233.3
103,2,ST,D,6/09/2019,(28)_,2,28,4,9:30:00,2656294131
104,2,MT,P,6/09/2019,(29)_,2,29,4,9:30:00,2344945055
114,2,ST,P,8/09/2019,,3,0,6,9:30:00,1220900668
115,2,ST,D,8/09/2019,(33)_,3,33,6,9:30:00,1970088768
117,2,MT,D,8/09/2019,(32)_,2,32,6,9:30:00,3387560995
118,2,LT,P,8/09/2019,(31)_,2,31,6,9:30:00,5285026455
120,2,ST,P,9/09/2019,,3,0,7,9:30:00,1679874223
121,2,ST,D,9/09/2019,,3,0,7,9:30:00,2491410256
122,2,MT,P,9/09/2019,(34)_,4,34,7,9:30:00,2565640293
126,2,ST,P,10/09/2019,,3,0,8,9:30:00,2182803134
127,2,ST,D,10/09/2019,,3,0,8,9:30:00,2783733699
13,1,ST,P,5/09/2019,(7)_,2,7,3,9:30:00,2180048249
132,2,ST,P,11/09/2019,,3,0,9,9:30:00,1691703297
133,2,ST,D,11/09/2019,,3,0,9,9:30:00,2536853086
137,2,LT,D,11/09/2019,(35)_,2,35,9,9:30:00,4422167385
138,2,ST,P,12/09/2019,,3,0,10,9:30:00,1387514170
139,2,ST,D,12/09/2019,,3,0,10,9:30:00,2130374094
142,2,LT,P,12/09/2019,(36)_,4,36,10,9:30:00,3057681159
144,2,MT,P,13/09/2019,,3,0,11,9:30:00,2829062271
145,2,MT,D,13/09/2019,(37)_,3,37,11,9:30:00,3315958271
148,2,MT,P,14/09/2019,,3,0,12,9:30:00,2196908836
149,2,MT,D,14/09/2019,,3,0,12,9:30:00,2680833333
152,2,MT,P,15/09/2019,,3,0,13,9:30:00,1669183673
153,2,MT,D,15/09/2019,,3,0,13,9:30:00,3951507084
156,2,MT,P,16/09/2019,,3,0,14,9:30:00,1544129062
157,2,MT,D,16/09/2019,,3,0,14,9:30:00,2841548036
160,2,MT,P,17/09/2019,,3,0,15,9:30:00,1885247525
161,2,MT,D,17/09/2019,,3,0,15,9:30:00,3760965347
162,2,LT,P,17/09/2019,,3,0,15,9:30:00,3093154504
163,2,LT,D,17/09/2019,,3,0,15,9:30:00,3773173469
164,2,LT,P,18/09/2019,,3,0,16,9:30:00,3210155792
165,2,LT,D,18/09/2019,(38)_,3,38,16,9:30:00,3905838302
166,2,LT,P,19/09/2019,,3,0,17,9:30:00,3703777473
167,2,LT,D,19/09/2019,,3,0,17,9:30:00,4326304348
168,2,LT,P,20/09/2019,,3,0,18,9:30:00,4840301790
169,2,LT,D,20/09/2019,,3,0,18,9:30:00,3806894737
170,2,LT,P,21/09/2019,,3,0,19,9:30:00,3748315789
171,2,LT,D,21/09/2019,,3,0,19,9:30:00,4132894737
172,1,LT,P,19/09/2019,,3,0,17,9:30:00,3124652981
173,1,LT,D,19/09/2019,,3,0,17,9:30:00,5794000000
174,1,LT,P,20/09/2019,,3,0,18,9:30:00,3342762488
175,1,LT,D,20/09/2019,,3,0,18,9:30:00,5572001812
176,1,LT,P,21/09/2019,,3,0,19,9:30:00,3691052632
177,1,LT,D,21/09/2019,,3,0,19,9:30:00,4426496081
19,1,ST,P,6/09/2019,(10)_,4,10,4,9:30:00,2243608958
2,1,ST,D,3/09/2019,(2)_,1,2,1,9:30:00,5788082993
20,1,ST,D,6/09/2019,(8)_,2,8,4,9:30:00,2928736264
200,3,FS,FS,8/10/2019,(40)_,0,40,0,9:30:00,48089166667
201,3,ST,P,9/10/2019,(41)_,1,41,1,9:30:00,4878078396
202,3,ST,D,9/10/2019,(42)_,1,42,1,9:30:00,4705492958
203,3,MT,P,9/10/2019,(43)_,1,43,1,9:30:00,4066533893
204,3,MT,D,9/10/2019,(44)_,1,44,1,9:30:00,5781571429
205,3,LT,P,9/10/2019,(45)_,1,45,1,9:30:00,0
206,3,LT,D,9/10/2019,(46)_,1,46,1,9:30:00,0
21,1,MT,P,6/09/2019,(9)_,2,9,4,9:30:00,1968901099
213,3,ST,P,11/10/2019,(47)_,2,47,3,9:30:00,0
219,3,ST,P,12/10/2019,(50)_,4,50,4,9:30:00,947403351.7
220,3,ST,D,12/10/2019,(48)_,2,48,4,9:30:00,1377748588
221,3,MT,P,12/10/2019,(49)_,2,49,4,9:30:00,2085435445
231,3,ST,P,14/10/2019,,3,0,6,9:30:00,1044679379
232,3,ST,D,14/10/2019,(53)_,3,53,6,9:30:00,1859511505
234,3,MT,D,14/10/2019,(52)_,2,52,6,9:30:00,5068759736
235,3,LT,P,14/10/2019,(51)_,2,51,6,9:30:00,4633208764
237,3,ST,P,15/10/2019,,3,0,7,9:30:00,666725206.6
238,3,ST,D,15/10/2019,,3,0,7,9:30:00,1426404959
239,3,MT,P,15/10/2019,(54)_,4,54,7,9:30:00,2089181576
243,3,ST,P,16/10/2019,,3,0,8,9:30:00,697915222.6
244,3,ST,D,16/10/2019,,3,0,8,9:30:00,1376998754
249,3,ST,P,17/10/2019,,3,0,9,9:30:00,763135593.2
250,3,ST,D,17/10/2019,,3,0,9,9:30:00,1863615938
254,3,LT,D,17/10/2019,(55)_,2,55,9,9:30:00,5417415373
255,3,ST,P,18/10/2019,,3,0,10,9:30:00,855415254.2
256,3,ST,D,18/10/2019,,3,0,10,9:30:00,1905211864
259,3,LT,P,18/10/2019,(56)_,4,56,10,9:30:00,4698329627
261,3,MT,P,19/10/2019,,3,0,11,9:30:00,2756779661
262,3,MT,D,19/10/2019,(57)_,3,57,11,9:30:00,3295225989
265,3,MT,P,20/10/2019,,3,0,12,9:30:00,2216449580
266,3,MT,D,20/10/2019,,3,0,12,9:30:00,3331186441
269,3,MT,P,21/10/2019,,3,0,13,9:30:00,3593856644
270,3,MT,D,21/10/2019,,3,0,13,9:30:00,3417288136
273,3,MT,P,22/10/2019,,3,0,14,9:30:00,2266153846
274,3,MT,D,22/10/2019,,3,0,14,9:30:00,2233325004
277,3,MT,P,23/10/2019,,3,0,15,9:30:00,3206387979
278,3,MT,D,23/10/2019,,3,0,15,9:30:00,3588234600
279,3,LT,P,23/10/2019,,0,0,15,9:30:00,3859173554
280,3,LT,D,23/10/2019,,0,0,15,9:30:00,4308817186
281,3,LT,P,24/10/2019,,3,0,16,9:30:00,3321572581
282,3,LT,D,24/10/2019,(58)_,3,58,16,9:30:00,4643589063
283,3,LT,P,25/10/2019,,3,0,17,9:30:00,3569900910
284,3,LT,D,25/10/2019,,3,0,17,9:30:00,4226939024
285,3,LT,P,26/10/2019,,3,0,18,9:30:00,3637838983
286,3,LT,D,26/10/2019,,3,0,18,9:30:00,4762796610
287,3,LT,P,27/10/2019,,3,0,19,9:30:00,3925041322
288,3,LT,D,27/10/2019,,3,0,19,9:30:00,4453528926
289,3,LT,P,28/10/2019,,3,0,20,9:30:00,3925041322
290,3,LT,D,28/10/2019,,3,0,20,9:30:00,4453528926
3,1,MT,P,3/09/2019,(3)_,1,3,1,9:30:00,2449818841
300,4,FS,FS,9/10/2019,(60)_,0,60,0,9:30:00,15297407407
301,4,ST,P,10/10/2019,(61)_,1,61,1,9:30:00,5985505618
302,4,ST,D,10/10/2019,(62)_,1,62,1,9:30:00,9387567568
303,4,MT,P,10/10/2019,(63)_,1,63,1,9:30:00,6897407407
304,4,MT,D,10/10/2019,(64)_,1,64,1,9:30:00,9084594595
305,4,LT,P,10/10/2019,(65)_,1,65,1,9:30:00,0
306,4,LT,D,10/10/2019,(66)_,1,66,1,9:30:00,9147567568
31,1,ST,P,8/09/2019,,3,0,6,9:30:00,1882252997
313,4,ST,P,12/10/2019,(67)_,2,67,3,9:30:00,753105721.9
319,4,ST,P,13/10/2019,(70)_,4,70,4,9:30:00,1025211019
32,1,ST,D,8/09/2019,(13)_,3,13,6,9:30:00,1998260550
320,4,ST,D,13/10/2019,(68)_,2,68,4,9:30:00,1648749555
321,4,MT,P,13/10/2019,(69)_,2,69,4,9:30:00,1648885365
331,4,ST,P,15/10/2019,,3,0,6,9:30:00,716021541.8
332,4,ST,D,15/10/2019,(73)_,3,73,6,9:30:00,1469311295
334,4,MT,D,15/10/2019,(72)_,2,72,6,9:30:00,3564998445
335,4,LT,P,15/10/2019,(71)_,2,71,6,9:30:00,2532247622
337,4,ST,P,16/10/2019,,3,0,7,9:30:00,660267419.4
338,4,ST,D,16/10/2019,,3,0,7,9:30:00,1590507967
339,4,MT,P,16/10/2019,(74)_,4,74,7,9:30:00,1806777525
34,1,MT,D,8/09/2019,(12)_,2,12,6,9:30:00,4881403846
343,4,ST,P,17/10/2019,,3,0,8,9:30:00,580000000
344,4,ST,D,17/10/2019,,3,0,8,9:30:00,1450581826
349,4,ST,P,18/10/2019,,3,0,9,9:30:00,762650878.5
35,1,LT,P,8/09/2019,(11)_,2,11,6,9:30:00,2523424947
350,4,ST,D,18/10/2019,,3,0,9,9:30:00,1884364237
354,4,LT,D,18/10/2019,(75)_,2,75,9,9:30:00,3885183260
355,4,ST,P,19/10/2019,,3,0,10,9:30:00,814067796.6
356,4,ST,D,19/10/2019,,3,0,10,9:30:00,1613983051
359,4,LT,P,19/10/2019,(76)_,4,76,10,9:30:00,2454406780
361,4,MT,P,20/10/2019,,3,0,11,9:30:00,2955287194
362,4,MT,D,20/10/2019,(77)_,3,77,11,9:30:00,3483364140
365,4,MT,P,21/10/2019,,3,0,12,9:30:00,3100920467
366,4,MT,D,21/10/2019,,3,0,12,9:30:00,3933215179
369,4,MT,P,22/10/2019,,3,0,13,9:30:00,2877005782
37,1,ST,P,9/09/2019,,3,0,7,9:30:00,1750087719
370,4,MT,D,22/10/2019,,3,0,13,9:30:00,3273632841
373,4,MT,P,23/10/2019,,3,0,14,9:30:00,3995634604
374,4,MT,D,23/10/2019,,3,0,14,9:30:00,4631021505
377,4,MT,P,24/10/2019,,3,0,15,9:30:00,3694201632
378,4,MT,D,24/10/2019,,3,0,15,9:30:00,4201901959
379,4,LT,P,24/10/2019,,0,0,15,9:30:00,2980760315
38,1,ST,D,9/09/2019,,3,0,7,9:30:00,2753333333
380,4,LT,D,24/10/2019,,0,0,15,9:30:00,4676408702
381,4,LT,P,25/10/2019,,3,0,16,9:30:00,2669342196
382,4,LT,D,25/10/2019,(78)_,3,78,16,9:30:00,3968070355
383,4,LT,P,26/10/2019,,3,0,17,9:30:00,3421949153
384,4,LT,D,26/10/2019,,3,0,17,9:30:00,4212369008
385,4,LT,P,27/10/2019,,3,0,18,9:30:00,2823527893
386,4,LT,D,27/10/2019,,3,0,18,9:30:00,3105661157
387,4,LT,P,28/10/2019,,3,0,19,9:30:00,2875556405
388,4,LT,D,28/10/2019,,3,0,19,9:30:00,4434528665
389,4,LT,P,29/10/2019,,3,0,20,9:30:00,2875556405
390,4,LT,D,29/10/2019,,3,0,20,9:30:00,4434528665
39,1,MT,P,9/09/2019,(14)_,4,14,7,9:30:00,2084266489
4,1,MT,D,3/09/2019,(4)_,1,4,1,9:30:00,6144610390
400,5,FS,FS,6/11/2019,(80)_,0,80,0,9:30:00,3866774031
401,5,ST,P,7/11/2019,(81)_,1,81,1,9:30:00,5121980748
402,5,ST,D,7/11/2019,(82)_,1,82,1,9:30:00,8390481203
403,5,MT,P,7/11/2019,(83)_,1,83,1,9:30:00,4907789453
404,5,MT,D,7/11/2019,(84)_,1,84,1,9:30:00,8686432462
405,5,LT,P,7/11/2019,(85)_,1,85,1,9:30:00,5677220991
406,5,LT,D,7/11/2019,(86)_,1,86,1,9:30:00,8452714286
413,5,ST,P,9/11/2019,(87)_,2,87,3,9:30:00,609854831.5
419,5,ST,P,10/11/2019,(90)_,4,90,4,9:30:00,833719919.3
420,5,ST,D,10/11/2019,(88)_,2,88,4,9:30:00,1496837120
421,5,MT,P,10/11/2019,(89)_,2,89,4,9:30:00,1451841551
43,1,ST,P,10/09/2019,,3,0,8,9:30:00,2037835045
431,5,ST,P,12/11/2019,,3,0,6,9:30:00,804420341.4
432,5,ST,D,12/11/2019,(93)_,3,93,6,9:30:00,1288847953
434,5,MT,D,12/11/2019,(92)_,2,92,6,9:30:00,2793761589
435,5,LT,P,12/11/2019,(91)_,2,91,6,9:30:00,5755966430
437,5,ST,P,13/11/2019,,3,0,7,9:30:00,1187596768
438,5,ST,D,13/11/2019,,3,0,7,9:30:00,1503889016
439,5,MT,P,13/11/2019,(94)_,4,94,7,9:30:00,2276173913
44,1,ST,D,10/09/2019,,3,0,8,9:30:00,3040918253
443,5,ST,P,14/11/2019,,3,0,8,9:30:00,878845776.7
444,5,ST,D,14/11/2019,,3,0,8,9:30:00,1303290960
449,5,ST,P,15/11/2019,,3,0,9,9:30:00,904144067.8
450,5,ST,D,15/11/2019,,3,0,9,9:30:00,1460955378
454,5,LT,D,15/11/2019,(95)_,2,95,9,9:30:00,5179743065
455,5,ST,P,16/11/2019,,3,0,10,9:30:00,1392307971
456,5,ST,D,16/11/2019,,3,0,10,9:30:00,1434308367
459,5,LT,P,16/11/2019,(96)_,4,96,10,9:30:00,3667187135
461,5,MT,P,17/11/2019,,3,0,11,9:30:00,2744385965
462,5,MT,D,17/11/2019,(97)_,3,97,11,9:30:00,4176607560
465,5,MT,P,18/11/2019,,3,0,12,9:30:00,2942864553
466,5,MT,D,18/11/2019,,3,0,12,9:30:00,4039541502
469,5,MT,P,19/11/2019,,3,0,13,9:30:00,3033480657
470,5,MT,D,19/11/2019,,3,0,13,9:30:00,3611442711
473,5,MT,P,20/11/2019,,3,0,14,9:30:00,2963427350
474,5,MT,D,20/11/2019,,3,0,14,9:30:00,4190121083
477,5,MT,P,21/11/2019,,3,0,15,9:30:00,3251375496
478,5,MT,D,21/11/2019,,3,0,15,9:30:00,4305619469
481,5,LT,P,22/11/2019,,3,0,16,9:30:00,3412347826
482,5,LT,D,22/11/2019,(98)_,3,98,16,9:30:00,4886418406
483,5,LT,P,23/11/2019,,3,0,17,9:30:00,3407316720
484,5,LT,D,23/11/2019,,3,0,17,9:30:00,4579701178
485,5,LT,P,24/11/2019,,3,0,18,9:30:00,3722274985
486,5,LT,D,24/11/2019,,3,0,18,9:30:00,4878405522
487,5,LT,P,25/11/2019,,3,0,19,9:30:00,4037910954
488,5,LT,D,25/11/2019,,3,0,19,9:30:00,4878405522
489,5,LT,P,26/11/2019,,3,0,20,9:30:00,3785513925
49,1,ST,P,11/09/2019,,3,0,9,9:30:00,1804638828
490,5,LT,D,26/11/2019,,3,0,20,9:30:00,4152043478
5,1,LT,P,3/09/2019,(5)_,1,5,1,9:30:00,3550235001
50,1,ST,D,11/09/2019,,3,0,9,9:30:00,2330450168
500,6,FS,FS,7/11/2019,(100)_,0,100,0,9:30:00,7006975325
501,6,ST,P,8/11/2019,(101)_,1,101,1,9:30:00,6962024836
502,6,ST,D,8/11/2019,(102)_,1,102,1,9:30:00,11016932099
503,6,MT,P,8/11/2019,(103)_,1,103,1,9:30:00,6116903546
504,6,MT,D,8/11/2019,(104)_,1,104,1,9:30:00,8614225275
505,6,LT,P,8/11/2019,(105)_,1,105,1,9:30:00,6233381456
506,6,LT,D,8/11/2019,(106)_,1,106,1,9:30:00,6409559245
513,6,ST,P,10/11/2019,(107)_,2,107,3,9:30:00,3840842771
519,6,ST,P,11/11/2019,(110)_,4,110,4,9:30:00,438994679.7
520,6,ST,D,11/11/2019,(108)_,2,108,4,9:30:00,3948645764
521,6,MT,P,11/11/2019,(109)_,2,109,4,9:30:00,2196209195
531,6,ST,P,13/11/2019,,3,0,6,9:30:00,616271929.8
532,6,ST,D,13/11/2019,(113)_,3,113,6,9:30:00,1563924368
534,6,MT,D,13/11/2019,(112)_,2,112,6,9:30:00,4345784512
535,6,LT,P,13/11/2019,(111)_,2,111,6,9:30:00,4240541065
537,6,ST,P,14/11/2019,,3,0,7,9:30:00,463658310.8
538,6,ST,D,14/11/2019,,3,0,7,9:30:00,1412160305
539,6,MT,P,14/11/2019,(114)_,4,114,7,9:30:00,1411139601
54,1,LT,D,11/09/2019,(15)_,2,15,9,9:30:00,5658293844
543,6,ST,P,15/11/2019,,3,0,8,9:30:00,474513348.6
544,6,ST,D,15/11/2019,,3,0,8,9:30:00,1538173913
549,6,ST,P,16/11/2019,,3,0,9,9:30:00,526969147
55,1,ST,P,12/09/2019,,3,0,10,9:30:00,1328001931
550,6,ST,D,16/11/2019,,3,0,9,9:30:00,1782173913
554,6,LT,D,16/11/2019,(115)_,2,115,9,9:30:00,4780204678
555,6,ST,P,17/11/2019,,3,0,10,9:30:00,493717662.8
556,6,ST,D,17/11/2019,,3,0,10,9:30:00,1426974072
559,6,LT,P,17/11/2019,(116)_,4,116,10,9:30:00,3689969743
56,1,ST,D,12/09/2019,,3,0,10,9:30:00,2113956044
561,6,MT,P,18/11/2019,,3,0,11,9:30:00,1530956522
562,6,MT,D,18/11/2019,(117)_,3,117,11,9:30:00,3605307653
565,6,MT,P,19/11/2019,,3,0,12,9:30:00,1738539823
566,6,MT,D,19/11/2019,,3,0,12,9:30:00,4070693530
569,6,MT,P,20/11/2019,,3,0,13,9:30:00,2729404607
570,6,MT,D,20/11/2019,,3,0,13,9:30:00,3901358257
573,6,MT,P,21/11/2019,,3,0,14,9:30:00,2766575932
574,6,MT,D,21/11/2019,,3,0,14,9:30:00,4141216626
577,6,MT,P,22/11/2019,,3,0,15,9:30:00,3913589846
578,6,MT,D,22/11/2019,,3,0,15,9:30:00,4428817204
581,6,LT,P,23/11/2019,,3,0,16,9:30:00,3150060720
582,6,LT,D,23/11/2019,(118)_,3,118,16,9:30:00,4013575007
583,6,LT,P,24/11/2019,,3,0,17,9:30:00,3950956522
584,6,LT,D,24/11/2019,,3,0,17,9:30:00,4188859649
585,6,LT,P,25/11/2019,,3,0,18,9:30:00,4180703148
586,6,LT,D,25/11/2019,,3,0,18,9:30:00,4187135311
587,6,LT,P,26/11/2019,,3,0,19,9:30:00,3808659279
588,6,LT,D,26/11/2019,,3,0,19,9:30:00,3570165667
589,6,LT,P,27/11/2019,,3,0,20,9:30:00,3348479701
59,1,LT,P,12/09/2019,(16)_,4,16,10,9:30:00,4944522406
590,6,LT,D,27/11/2019,,3,0,20,9:30:00,4663422969
6,1,LT,D,3/09/2019,(6)_,1,6,1,9:30:00,5986003553
61,1,MT,P,13/09/2019,,3,0,11,9:30:00,2708445946
62,1,MT,D,13/09/2019,(17)_,3,17,11,9:30:00,3983223443
65,1,MT,P,14/09/2019,,3,0,12,9:30:00,2785266854
66,1,MT,D,14/09/2019,,3,0,12,9:30:00,3842386364
69,1,MT,P,15/09/2019,,3,0,13,9:30:00,2770170455
70,1,MT,D,15/09/2019,,3,0,13,9:30:00,4167054293
73,1,MT,P,16/09/2019,,3,0,14,9:30:00,2740085404
74,1,MT,D,16/09/2019,,3,0,14,9:30:00,3668621056
77,1,MT,P,17/09/2019,,3,0,15,9:30:00,2756604543
78,1,MT,D,17/09/2019,,3,0,15,9:30:00,3916650000
79,1,LT,P,17/09/2019,,3,0,15,9:30:00,3773910891
80,1,LT,D,17/09/2019,,3,0,15,9:30:00,5293400000
81,1,LT,P,18/09/2019,,3,0,16,9:30:00,3852077417
82,1,LT,D,18/09/2019,(18)_,3,18,16,9:30:00,4440542738
83,2,FS,FS,2/09/2019,(20)_,0,20,0,9:30:00,1.37539E+11
84,2,ST,P,3/09/2019,(21)_,1,21,1,9:30:00,3982820811
85,2,ST,D,3/09/2019,(22)_,1,22,1,9:30:00,6926007081
86,2,MT,P,3/09/2019,(23)_,1,23,1,9:30:00,4934883047
87,2,MT,D,3/09/2019,(24)_,1,24,1,9:30:00,7166935673
88,2,LT,P,3/09/2019,(25)_,1,25,1,9:30:00,6093115942
89,2,LT,D,3/09/2019,(26)_,1,26,1,9:30:00,7503164474
96,2,ST,P,5/09/2019,(27)_,2,27,3,9:30:00,886461853.6
